default,student,balance,income
No,No,729.5264952,44361.62507
No,Yes,817.1804066,12106.1347
No,No,1073.549164,31767.13895
No,No,529.2506047,35704.49394
No,No,785.6558829,38463.49588
No,Yes,919.5885305,7491.558572
No,No,825.5133305,24905.22658
No,Yes,808.6675043,17600.45134
No,No,1161.057854,37468.52929
No,No,0,29275.26829
No,Yes,0,21871.07309
No,Yes,1220.583753,13268.56222
No,No,237.045114,28251.69534
No,No,606.7423433,44994.55585
No,No,1112.968401,23810.17405
No,No,286.2325601,45042.41304
No,No,0,50265.31235
No,Yes,527.5401841,17636.53962
No,No,485.9368642,61566.10612
No,No,1095.072735,26464.63139
No,No,228.9525496,50500.1822
No,No,954.2617928,32457.50908
No,No,1055.956605,51317.88308
No,No,641.9843888,30466.10326
No,No,773.2117245,34353.31431
No,No,855.0085225,25211.33216
No,No,642.9997385,41473.5118
No,No,1454.863272,32189.09495
No,No,615.7042766,39376.39462
No,Yes,1119.569353,16556.07021
No,No,494.8162288,54384.78284
No,Yes,448.8806563,15799.47041
No,Yes,584.9048947,22429.93505
No,No,913.5871726,46907.2254
No,Yes,1423.938917,22634.48809
No,Yes,1499.724657,13190.65272
No,No,692.0341671,47806.61177
No,No,351.4534715,35087.48865
No,No,742.6276208,37864.82394
No,No,653.1184001,39489.5947
No,No,872.1386795,41787.56727
No,No,837.2626228,51471.77209
No,No,1151.630566,42917.46956
No,Yes,220.5556084,16872.94756
No,Yes,1690.23441,19052.57222
No,No,408.7729143,54206.93921
No,No,1238.610321,50066.68053
No,No,1228.30835,37408.50387
No,No,820.9192041,47746.54207
No,No,857.4851178,31688.34597
No,No,563.6181772,42641.25327
No,Yes,1282.972534,13120.63647
No,Yes,1505.782675,26557.14145
No,Yes,904.0402591,16882.30061
No,No,0,49956.58057
No,Yes,1294.497347,10464.32073
No,Yes,1275.550633,15887.46849
No,No,1536.594601,48766.90746
No,No,1332.522644,39143.13707
No,No,492.0797678,33379.0946
No,No,766.2343793,46478.29426
No,No,690.1272462,63432.98425
No,No,0,32481.54005
No,No,1480.655309,36866.15707
No,No,989.055597,45344.25132
No,No,1302.341835,33695.42623
No,No,1044.552343,54696.76598
No,No,0,43658.22772
No,No,866.0284364,38363.42163
No,No,690.8007924,48140.47134
No,No,597.757142,31577.61513
No,No,429.4854023,51311.2181
No,No,1398.156201,39644.94219
No,Yes,1578.064099,19886.49395
No,No,857.0690531,26655.68897
No,Yes,752.459946,16211.27579
No,Yes,774.738427,15193.73314
No,No,728.3732513,45131.71826
No,No,76.99129053,28392.09341
No,No,196.4569131,41346.78591
No,Yes,948.7479184,14297.61905
No,No,431.9208853,39369.88156
No,No,461.6381822,46221.21149
No,No,572.0157602,33046.31296
No,No,335.5681447,51258.44423
No,No,510.2375932,60397.71865
No,Yes,1005.161306,24038.65204
No,Yes,162.4544511,13241.75206
No,No,932.5331557,50537.46565
No,Yes,893.3304676,11905.68179
No,No,1332.782564,44495.16276
No,No,1404.383069,35043.10603
No,Yes,1148.965139,16578.19212
No,No,368.2234257,57596.82584
No,No,449.4666288,45950.66672
No,No,820.0171126,51584.65732
No,Yes,619.7518686,15750.62208
No,No,1047.718124,46416.97099
No,No,243.8413283,47193.88813
No,No,186.5003869,45430.55027
No,No,1422.018488,38224.03152
No,No,383.798659,61425.28639
No,No,1159.435096,45802.10494
No,No,882.9919126,17181.73797
No,No,1463.232892,65457.85419
No,Yes,1722.355846,19311.42294
No,Yes,773.9218613,14558.91214
No,No,958.1694185,32816.2848
No,No,1207.53273,68037.57513
No,No,1056.61083,30546.60103
No,No,117.6424839,46550.26727
No,No,596.9641192,58088.36045
No,No,0,47729.62576
No,Yes,541.6627553,16335.70344
No,No,1119.178303,45020.01912
No,Yes,810.3209365,20498.66581
No,No,271.5514377,32850.12014
