Dates,price,P_B,P_S,P_FCF,P_EPS,P_EBITDA,EV_FCFF,EV_B,LTDebt_EV,EV_EBITDA,DPS,DPR
4/1/2010,8.428,5.4551,4.1605,17.5258,19.6642,13.4379,14.1951,4.3782,0,15.9334,0,0
4/2/2010,8.428,5.4551,4.1605,17.5258,19.6642,13.4379,14.1951,4.3782,0,15.9334,0,0
4/5/2010,8.518,5.5133,4.205,17.7129,19.8742,13.5814,14.3834,4.4362,0,16.1448,0,0
4/6/2010,8.555,5.5376,4.2235,17.7909,19.9617,13.6412,14.4619,4.4604,0,16.2329,0,0
4/7/2010,8.593,5.5621,4.2422,17.8696,20.05,13.7015,14.5411,4.4849,0,16.3218,0,0
4/8/2010,8.57,5.5471,4.2307,17.8214,19.9958,13.6645,14.4925,4.4699,0,16.2672,0,0
4/9/2010,8.635,5.5896,4.2632,17.958,20.1492,13.7693,14.63,4.5123,0,16.4216,0,0
4/12/2010,8.653,5.6012,4.272,17.9952,20.1908,13.7978,14.6674,4.5238,0,16.4635,0,0
4/13/2010,8.658,5.6044,4.2744,18.0056,20.2025,13.8057,14.6778,4.527,0,16.4752,0,0
4/14/2010,8.775,5.6798,4.3319,18.2477,20.4742,13.9914,14.9214,4.6022,0,16.7486,0,0
4/15/2010,8.89,5.7545,4.3889,18.4876,20.7433,14.1753,15.1628,4.6766,0,17.0195,0,0
4/16/2010,8.836,5.7193,4.3621,18.3747,20.6167,14.0888,15.0492,4.6416,0,16.8921,0,0
4/19/2010,8.824,5.7117,4.3563,18.3502,20.5892,14.07,15.0245,4.634,0,16.8644,0,0
4/20/2010,8.735,5.6544,4.3125,18.166,20.3825,13.9287,14.8392,4.5768,0,16.6564,0,0
4/21/2010,9.258,5.9926,4.5705,19.2526,21.6017,14.7619,15.9995,4.9347,0,17.9588,0,0
4/22/2010,9.517,6.1602,4.6983,19.791,22.2058,15.1747,16.5431,5.1023,0,18.5689,0,0
4/23/2010,9.673,6.261,4.7752,20.1149,22.5692,15.423,16.87,5.2032,0,18.9359,0,0
4/26/2010,9.625,6.2302,4.7517,20.0161,22.4583,15.3473,16.7703,5.1724,0,18.8239,0,0
4/27/2010,9.359,6.0578,4.6202,19.462,21.8367,14.9225,16.211,4.9999,0,18.1961,0,0
4/28/2010,9.343,6.0476,4.6124,19.4293,21.8,14.8974,16.178,4.9897,0,18.1591,0,0
4/29/2010,9.594,6.2103,4.7366,19.9522,22.3867,15.2983,16.7058,5.1525,0,18.7516,0,0
4/30/2010,9.325,6.0358,4.6035,19.3915,21.7575,14.8684,16.1397,4.9779,0,18.1162,0,0
5/3/2010,9.513,6.1574,4.6962,19.7821,22.1958,15.1679,16.5341,5.0996,0,18.5588,0,0
5/4/2010,9.239,5.9801,4.561,19.2125,21.5567,14.7311,15.959,4.9222,0,17.9133,0,0
5/5/2010,9.142,5.9178,4.5134,19.0123,21.3321,14.5777,15.757,4.8599,0,17.6865,0,0
5/6/2010,8.795,5.6927,4.3418,18.2893,20.5208,14.0233,15.0271,4.6348,0,16.8672,0,0
5/7/2010,8.424,5.4525,4.1586,17.5176,19.655,13.4316,14.248,4.3945,0,15.9928,0,0
5/10/2010,9.071,5.8717,4.4783,18.8641,21.1658,14.464,15.6074,4.8137,0,17.5186,0,0
5/11/2010,9.161,5.9302,4.5229,19.052,21.3767,14.6081,15.7971,4.8723,0,17.7315,0,0
5/12/2010,9.36,6.0589,4.6211,19.4657,21.8408,14.9253,16.2147,5.0011,0,18.2003,0,0
5/13/2010,9.227,5.9727,4.5553,19.1887,21.53,14.7129,15.935,4.9148,0,17.8864,0,0
5/14/2010,9.065,5.8677,4.4753,18.8515,21.1517,14.4544,15.5946,4.8098,0,17.5043,0,0
5/17/2010,9.079,5.877,4.4823,18.8812,21.185,14.4771,15.6246,4.8191,0,17.538,0,0
5/18/2010,9.013,5.834,4.4495,18.7431,21.03,14.3712,15.4852,4.7761,0,17.3814,0,0
5/19/2010,8.869,5.7411,4.3787,18.4445,20.695,14.1423,15.1838,4.6831,0,17.0431,0,0
5/20/2010,8.491,5.4965,4.1921,17.6587,19.8133,13.5398,14.3905,4.4384,0,16.1527,0,0
5/21/2010,8.654,5.6019,4.2725,17.9974,20.1933,13.7995,14.7324,4.5439,0,16.5365,0,0
5/24/2010,8.813,5.7045,4.3508,18.3271,20.5633,14.0523,15.0653,4.6465,0,16.9101,0,0
5/25/2010,8.758,5.6689,4.3236,18.2128,20.435,13.9646,14.9498,4.6109,0,16.7805,0,0
5/26/2010,8.718,5.6432,4.3041,18.1303,20.3424,13.9013,14.8665,4.5852,0,16.687,0,0
5/27/2010,9.048,5.8569,4.467,18.8166,21.1125,14.4276,15.5594,4.7989,0,17.4648,0,0
5/28/2010,9.174,5.9385,4.5292,19.0788,21.4067,14.6286,15.8241,4.8806,0,17.7618,0,0
5/31/2010,9.174,5.9385,4.5292,19.0788,21.4067,14.6286,15.8241,4.8806,0,17.7618,0,0
6/1/2010,9.315,6.0298,4.5989,19.3721,21.7358,14.8536,16.1202,4.9719,0,18.0943,0,0
6/2/2010,9.427,6.1019,4.6539,19.6039,21.9958,15.0312,16.3542,5.0441,0,18.3568,0,0
6/3/2010,9.397,6.0827,4.6392,19.5422,21.9267,14.984,16.2919,5.0249,0,18.287,0,0
6/4/2010,9.142,5.9173,4.5131,19.0108,21.3304,14.5765,15.7555,4.8594,0,17.6848,0,0
6/7/2010,8.962,5.8012,4.4245,18.6376,20.9117,14.2904,15.3787,4.7432,0,17.2619,0,0
6/8/2010,8.905,5.7639,4.3961,18.518,20.7775,14.1987,15.258,4.706,0,17.1264,0,0
6/9/2010,8.686,5.6222,4.288,18.0627,20.2667,13.8496,14.7984,4.5642,0,16.6105,0,0
6/10/2010,8.947,5.7912,4.4169,18.6057,20.8758,14.2659,15.3465,4.7333,0,17.2257,0,0
6/11/2010,9.054,5.8606,4.4698,18.8285,21.1258,14.4367,15.5714,4.8026,0,17.4782,0,0
6/14/2010,9.081,5.8784,4.4834,18.8857,21.19,14.4806,15.6291,4.8205,0,17.543,0,0
6/15/2010,9.275,6.0034,4.5788,19.2875,21.6408,14.7886,16.0348,4.9456,0,17.9983,0,0
6/16/2010,9.545,6.1782,4.7121,19.849,22.2708,15.2192,16.6016,5.1204,0,18.6346,0,0
6/17/2010,9.71,6.285,4.7935,20.1921,22.6558,15.4823,16.948,5.2272,0,19.0234,0,0
6/18/2010,9.788,6.336,4.8324,20.3558,22.8395,15.6078,17.1133,5.2782,0,19.2089,0,0
6/21/2010,9.649,6.2457,4.7636,20.0658,22.5142,15.3855,16.8205,5.1879,0,18.8803,0,0
6/22/2010,9.78,6.3308,4.8284,20.3392,22.8208,15.595,17.0965,5.273,0,19.19,0,0
6/23/2010,9.678,6.2642,4.7777,20.1253,22.5808,15.431,16.8805,5.2064,0,18.9477,0,0
6/24/2010,9.607,6.2187,4.7429,19.9789,22.4167,15.3188,16.7328,5.1609,0,18.7819,0,0
6/25/2010,9.525,5.6511,4.2309,16.8687,19.7263,13.7813,13.7478,4.5659,0,16.0858,0,0
6/28/2010,9.582,5.685,4.2563,16.9699,19.8447,13.864,13.8495,4.5997,0,16.2047,0,0
6/29/2010,9.149,5.428,4.0639,16.2027,18.9475,13.2372,13.0786,4.3437,0,15.3028,0,0
6/30/2010,8.983,5.3297,3.9903,15.9092,18.6043,12.9975,12.7838,4.2457,0,14.9577,0,0
7/1/2010,8.874,5.2651,3.9419,15.7163,18.3787,12.8399,12.5899,4.1814,0,14.7309,0,0
7/2/2010,8.819,5.2324,3.9175,15.6189,18.2648,12.7603,12.4921,4.1489,0,14.6164,0,0
7/5/2010,8.819,5.2324,3.9175,15.6189,18.2648,12.7603,12.4921,4.1489,0,14.6164,0,0
7/6/2010,8.88,5.2682,3.9443,15.7258,18.3898,12.8476,12.5995,4.1845,0,14.7421,0,0
7/7/2010,9.238,5.4809,4.1035,16.3605,19.132,13.3661,13.2372,4.3963,0,15.4883,0,0
7/8/2010,9.218,5.4687,4.0944,16.3242,19.0895,13.3364,13.2007,4.3842,0,15.4455,0,0
7/9/2010,9.272,5.5011,4.1186,16.4209,19.2027,13.4155,13.2979,4.4165,0,15.5593,0,0
7/12/2010,9.189,5.4516,4.0816,16.2732,19.03,13.2948,13.1495,4.3672,0,15.3857,0,0
7/13/2010,8.993,5.3354,3.9945,15.9262,18.6241,13.0113,12.8008,4.2514,0,14.9777,0,0
7/14/2010,9.026,5.3551,4.0093,15.9849,18.6928,13.0593,12.8598,4.271,0,15.0467,0,0
7/15/2010,8.98,5.328,3.989,15.9042,18.5984,12.9933,12.7787,4.244,0,14.9518,0,0
7/16/2010,8.925,5.2952,3.9644,15.8061,18.4837,12.9132,12.6802,4.2113,0,14.8365,0,0
7/19/2010,8.771,5.2036,3.8959,15.5329,18.1642,12.69,12.4056,4.1201,0,14.5153,0,0
7/20/2010,8.996,5.3373,3.996,15.932,18.6309,13.0161,12.8066,4.2533,0,14.9845,0,0
7/21/2010,9.08,5.3871,4.0333,16.0806,18.8047,13.1375,13.0203,4.3243,0,15.2346,0,0
7/22/2010,9.251,5.4885,4.1092,16.3832,19.1586,13.3847,13.3256,4.4257,0,15.5917,0,0
7/23/2010,9.284,5.5079,4.1237,16.4412,19.2263,13.432,13.384,4.4451,0,15.6601,0,0
7/26/2010,9.26,5.4939,4.1132,16.3994,19.1775,13.3979,13.3419,4.4311,0,15.6108,0,0
7/27/2010,9.431,5.5956,4.1894,16.703,19.5325,13.646,13.6482,4.5328,0,15.9692,0,0
7/28/2010,9.32,5.5295,4.1399,16.5057,19.3018,13.4847,13.4491,4.4667,0,15.7362,0,0
7/29/2010,9.218,5.4691,4.0947,16.3254,19.091,13.3375,13.2673,4.4063,0,15.5235,0,0
7/30/2010,9.188,5.4509,4.081,16.271,19.0274,13.293,13.2124,4.3881,0,15.4593,0,0
8/2/2010,9.352,5.5484,4.154,16.562,19.3676,13.5307,13.5059,4.4856,0,15.8027,0,0
8/3/2010,9.355,5.5501,4.1553,16.567,19.3735,13.5349,13.511,4.4873,0,15.8087,0,0
8/4/2010,9.392,5.5723,4.1719,16.6334,19.4512,13.5891,13.578,4.5095,0,15.887,0,0
8/5/2010,9.346,5.5452,4.1516,16.5525,19.3565,13.523,13.4963,4.4824,0,15.7915,0,0
8/6/2010,9.289,5.5111,4.1261,16.4507,19.2375,13.4398,13.3937,4.4483,0,15.6714,0,0
8/9/2010,9.348,5.5462,4.1524,16.5556,19.3602,13.5256,13.4995,4.4835,0,15.7952,0,0
8/10/2010,9.265,5.4967,4.1153,16.4076,19.1871,13.4046,13.3502,4.4339,0,15.6205,0,0
8/11/2010,8.935,5.3013,3.969,15.8245,18.5052,12.9282,12.7619,4.2385,0,14.9322,0,0
8/12/2010,8.993,5.3352,3.9944,15.9257,18.6235,13.0109,12.864,4.2724,0,15.0516,0,0
8/13/2010,8.896,5.2782,3.9517,15.7555,18.4246,12.8719,12.6924,4.2154,0,14.8508,0,0
8/16/2010,8.844,5.2473,3.9286,15.6632,18.3166,12.7964,12.5992,4.1844,0,14.7418,0,0
8/17/2010,8.999,5.339,3.9973,15.9371,18.6368,13.0202,12.8755,4.2762,0,15.0651,0,0
8/18/2010,9.038,5.3623,4.0147,16.0066,18.7182,13.077,12.9457,4.2995,0,15.1472,0,0
8/19/2010,8.924,5.2947,3.9641,15.8049,18.4822,12.9122,12.7422,4.2319,0,14.9091,0,0
8/20/2010,8.916,5.2896,3.9603,15.7897,18.4645,12.8998,12.7268,4.2268,0,14.8911,0,0
8/23/2010,8.779,5.2083,3.8994,15.5468,18.1805,12.7014,12.4818,4.1455,0,14.6045,0,0
