Sold Price,DOM,Garage Capacity,HOA Fee,Irregular Shape,Quadrant,School District,Sold Terms,Total Bedrooms,Total Bathrooms,Total Square Feet,Year Built,Zip,year_sold,month_sold,built_after_2000
176000,5,2,0,No,NW,Cache,FHA,3,1,1031,1974,84335,2018,9,0
225000,6,2,0,No,NW,Cache,Conventional,4,2,2091,1995,84335,2018,7,0
274900,14,2,0,No,NW,Cache,Conventional,3,1,2016,1980,84335,2018,11,0
175000,16,1,0,No,NW,Cache,USDA Rural Development,4,1,1920,1978,84335,2018,6,0
179000,29,0,0,No,NW,Cache,Cash,4,2,1329,1976,84335,2018,9,0
299900,130,2,0,No,NW,Cache,Conventional,6,3,2765,1926,84335,2018,9,0
424000,463,6,0,No,NW,Cache,Conventional,4,4,5000,1933,84335,2019,12,0
775000,37,2,0,No,SE,Cache,Conventional,5,4,5180,1999,84328,2020,8,0
611000,38,2,0,No,SE,Cache,VA,5,3,4308,2015,84328,2020,11,1
1131310,115,2,0,Yes,SE,Cache,Cash,4,2,2116,1985,84328,2020,4,0
689000,130,2,0,No,SE,Cache,Conventional,5,4,5459,1999,84328,2018,9,0
249900,1,2,0,No,NW,Cache,FHA,4,2,2996,1958,84335,2019,6,0
344900,4,3,0,No,NW,Cache,Other,4,3,1918,2008,84335,2020,7,1
284000,23,2,0,No,NW,Cache,Conventional,5,3,2610,1975,84335,2019,5,0
290000,91,2,0,No,NW,Cache,Cash,3,2,1937,2013,84335,2018,5,1
280000,116,2,0,Yes,NW,Cache,Conventional,5,3,3319,1918,84335,2019,6,0
328000,341,2,0,Yes,NW,Cache,Conventional,4,2,2348,1894,84335,2019,6,0
196000,3,0,0,No,SE,Cache,Conventional,2,1,1165,1922,84305,2020,4,0
274000,4,2,0,No,NW,Cache,Cash,7,3,2688,1996,84305,2018,7,0
309000,4,2,0,No,NE,Cache,Conventional,3,2,3448,2019,84305,2019,9,1
244000,5,2,0,No,SE,Cache,Conventional,3,2,2200,1974,84305,2019,12,0
307019,8,2,0,No,NE,Cache,Conventional,3,2,3184,2019,84305,2019,10,1
249900,9,1,0,No,NE,Cache,Conventional,4,2,2116,1979,84305,2020,5,0
199900,12,0,0,No,NE,Cache,Other,3,1,2280,1929,84305,2019,3,0
312000,14,2,0,No,NW,Cache,FHA,3,2,3120,2019,84305,2019,8,1
220900,44,0,0,No,NW,Cache,FHA,4,1,1536,1938,84305,2019,7,0
295000,47,2,0,No,NW,Cache,Conventional,3,2,2638,2014,84305,2020,3,1
175000,84,0,0,No,NE,Cache,FHA,4,2,1866,1894,84305,2019,12,0
255000,93,2,0,Yes,SE,Cache,Conventional,3,3,3777,1943,84305,2019,2,0
210000,164,0,0,No,NW,Cache,FHA,3,2,2280,1928,84305,2019,4,0
308000,2,1,0,No,SW,Cache,Cash,2,1,2084,1953,84339,2020,11,0
162000,3,2,0,No,SW,Cache,Conventional,4,1,1884,1913,84339,2018,9,0
174000,7,0,0,Yes,SW,Cache,USDA Rural Development,4,2,1756,1929,84339,2018,9,0
162000,61,0,0,No,SW,Cache,Conventional,6,3,3952,1947,84339,2018,9,0
254500,64,2,0,Yes,SW,Cache,Other,4,3,1918,2014,84339,2019,6,1
205000,192,0,0,Yes,SW,Cache,FHA,4,2,1756,1929,84339,2020,8,0
145000,6,2,0,No,NW,Cache,Conventional,2,2,1477,1918,84308,2020,10,0
180000,7,0,0,No,NW,Cache,FHA,3,2,2700,1954,84308,2018,6,0
124000,8,1,0,No,NW,Cache,VA,2,1,842,1918,84308,2018,10,0
183000,39,0,0,No,NW,Cache,VA,3,2,1680,1918,84308,2018,9,0
239000,47,2,0,No,NW,Cache,FHA,3,2,1749,1996,84308,2018,1,0
136000,54,0,0,No,NW,Cache,Conventional,2,1,891,1918,84308,2020,2,0
183500,54,0,0,No,NW,Cache,Conventional,6,2,3014,1918,84308,2019,5,0
226600,2,0,0,No,NE,Cache,Conventional,3,1,1480,1928,84320,2018,10,0
170000,3,2,0,No,NE,Cache,Conventional,3,1,1744,1932,84320,2018,5,0
270000,5,3,0,No,NE,Cache,USDA Rural Development,2,1,1828,1918,84320,2018,10,0
235000,11,0,0,No,NE,Cache,Conventional,6,2,2330,1935,84320,2018,9,0
600000,40,2,0,No,NE,Cache,Conventional,4,4,3484,2011,84320,2018,5,1
276500,100,0,0,No,NE,Cache,Conventional,4,3,3284,1999,84320,2018,6,0
622500,167,2,0,Yes,NE,Cache,Cash,4,4,3484,2011,84320,2020,7,1
285000,1,2,0,No,NW,Cache,Conventional,5,2,2464,2001,84318,2019,6,1
397000,1,3,100,No,NE,Cache,Conventional,5,4,3312,2014,84318,2020,10,1
395000,1,3,0,No,NE,Cache,Conventional,5,4,3312,2014,84318,2019,7,1
405000,1,3,100,Yes,NE,Cache,Conventional,5,4,3059,2017,84318,2019,7,1
565000,1,3,0,No,NE,Cache,Conventional,6,3,3475,2007,84318,2020,10,1
210000,2,2,0,No,SW,Cache,Cash,5,2,2369,1919,84318,2020,10,0
315000,2,2,0,No,SW,Cache,Conventional,4,3,2551,2004,84318,2020,6,1
345000,2,2,100,No,NE,Cache,VA,5,3,3170,2008,84318,2018,6,1
487000,2,3,0,No,NE,Cache,VA,6,5,4526,2007,84318,2018,6,1
226125,3,2,0,No,NE,Cache,Conventional,3,1,1720,1918,84318,2018,3,0
278750,3,2,0,No,NE,Cache,Conventional,3,3,2562,2012,84318,2018,9,1
278500,3,2,0,No,NE,Cache,Conventional,3,2,2959,2003,84318,2018,3,1
299900,3,2,0,No,NW,Cache,Conventional,4,2,2301,2000,84318,2020,2,1
320000,3,1,0,No,SE,Cache,Conventional,3,2,2478,1958,84318,2019,5,0
318000,3,2,0,No,NE,Cache,Conventional,5,3,2839,1989,84318,2018,7,0
363900,3,3,0,No,NE,Cache,Conventional,3,2,3115,2019,84318,2020,1,1
378000,3,4,0,No,SE,Cache,Conventional,3,2,3860,2020,84318,2020,2,1
420000,3,2,0,No,NW,Cache,Conventional,5,4,3252,2010,84318,2020,7,1
471000,3,3,0,No,NE,Cache,Conventional,3,3,4394,2005,84318,2020,6,1
228000,4,2,75,Yes,NW,Cache,Conventional,2,2,1331,2008,84318,2019,6,1
255000,4,2,75,No,NW,Cache,Conventional,3,2,1397,2008,84318,2019,12,1
259900,4,2,80,No,SW,Cache,FHA,3,2,1500,2019,84318,2019,5,1
287726,4,2,75,No,NE,Cache,Other,3,2,1778,2013,84318,2019,5,1
295000,4,3,0,No,NW,Cache,FHA,5,3,2523,1996,84318,2018,3,0
314900,4,0,0,No,NE,Cache,Conventional,4,2,2944,1954,84318,2020,6,0
360000,4,2,0,No,NW,Cache,Conventional,5,3,2536,2002,84318,2020,10,1
385000,4,2,0,No,NE,Cache,Conventional,3,3,2936,1914,84318,2020,7,0
466400,4,3,0,Yes,SW,Cache,Conventional,4,3,3244,2011,84318,2020,6,1
450000,4,3,0,No,NE,Cache,VA,5,4,3312,2014,84318,2020,9,1
194900,5,1,0,No,SE,Cache,FHA,4,1,1881,1917,84318,2018,6,0
