price,LSTAT,LSTAT2,LSTAT3,LSTAT4,LSTAT5,LSTAT6,LSTAT7,LSTAT8,LSTAT9,LSTAT10
24,4.98,24.8004,123.505992,615.0598402,3062.998004,15253.73006,75963.5757,378298.607,1883927.063,9381956.772
21.6,9.14,83.5396,763.551944,6978.864768,63786.82398,583011.5712,5328725.761,48704553.45,445159618.6,4068758914
34.7,4.03,16.2409,65.450827,263.7668328,1062.980336,4283.810755,17263.75734,69572.94209,280378.9566,1129927.195
33.4,2.94,8.6436,25.412184,74.71182096,219.6527536,645.7790956,1898.590541,5581.856191,16410.6572,48247.33217
36.2,5.33,28.4089,151.419437,807.0655992,4301.659644,22927.8459,122205.4187,651354.8814,3471721.518,18504275.69
28.7,5.21,27.1441,141.420761,736.8021648,3838.739279,19999.83164,104199.1229,542877.4301,2828391.411,14735919.25
22.9,12.43,154.5049,1920.495907,23871.76412,296726.0281,3688304.529,45845625.29,569861122.4,7083373751,88046335729
27.1,19.15,366.7225,7022.735875,134485.392,2575395.257,49318819.17,944455387.1,18086320663,3.46353E+11,6.63266E+12
16.5,29.93,895.8049,26811.44066,802466.4189,24017819.92,718853350.1,21515280769,6.43952E+11,1.92735E+13,5.76856E+14
18.9,17.1,292.41,5000.211,85503.6081,1462111.699,25002110.04,427536081.8,7310866998,1.25016E+11,2.13777E+12
15,20.45,418.2025,8552.241125,174893.331,3576568.619,73140828.26,1495729938,30587677230,6.25518E+11,1.27918E+13
18.9,13.27,176.0929,2336.752783,31008.70943,411485.5741,5460413.569,72459688.06,961540060.5,12759636603,1.6932E+11
21.7,15.71,246.8041,3877.292411,60912.26378,956931.6639,15033396.44,236174658.1,3710303878,58288873930,9.15718E+11
20.4,8.26,68.2276,563.559976,4655.005402,38450.34462,317599.8465,2623374.732,21669075.29,178986561.9,1478429001
18.2,10.26,105.2676,1080.045576,11081.26761,113693.8057,1166498.446,11968274.06,122794491.8,1259871486,12926281449
19.9,8.47,71.7409,607.645423,5146.756733,43593.02953,369232.9601,3127403.172,26489104.87,224362718.2,1900352223
23.1,6.58,43.2964,284.890312,1874.578253,12334.7249,81162.48987,534049.1834,3514043.626,23122407.06,152145438.5
17.5,14.67,215.2089,3157.114563,46314.87064,679439.1523,9967372.364,146221352.6,2145067242,31468136445,4.61638E+11
20.2,11.69,136.6561,1597.509809,18674.88967,218309.4602,2552037.59,29833319.43,348751504.1,4076905083,47659020417
18.2,11.28,127.2384,1435.249152,16189.61043,182618.8057,2059940.128,23236124.65,262103486,2956527322,33349628196
13.6,21.02,441.8404,9287.485208,195222.9391,4103586.179,86257381.49,1813130159,38111995940,8.01114E+11,1.68394E+13
19.6,13.83,191.2689,2645.248887,36583.79211,505953.8448,6997341.674,96773235.35,1338373845,18509710276,2.55989E+11
15.2,18.72,350.4384,6560.206848,122807.0722,2298948.391,43036313.89,805639796,15081576981,2.82327E+11,5.28516E+12
14.5,19.88,395.2144,7856.862272,156194.422,3105145.109,61730284.76,1227198061,24396697454,4.85006E+11,9.64193E+12
15.6,16.3,265.69,4330.747,70591.1761,1150636.17,18755369.58,305712524.1,4983114143,81224760534,1.32396E+12
13.9,16.51,272.5801,4500.297451,74299.91092,1226691.529,20252677.15,334371699.7,5520476762,91143071343,1.50477E+12
16.6,14.81,219.3361,3248.367641,48108.32476,712484.2897,10551892.33,156273525.4,2314410912,34276425600,5.07634E+11
14.8,17.28,298.5984,5159.780352,89161.00448,1540702.157,26623333.28,460051199.1,7949684720,1.37371E+11,2.37376E+12
18.4,12.8,163.84,2097.152,26843.5456,343597.3837,4398046.511,56294995.34,720575940.4,9223372037,1.18059E+11
21,11.98,143.5204,1719.374392,20598.10522,246765.3005,2956248.3,35415854.63,424281938.5,5082897623,60893113526
12.7,22.6,510.76,11543.176,260875.7776,5895792.574,133244912.2,3011335015,68056171338,1.53807E+12,3.47604E+13
14.5,13.04,170.0416,2217.342464,28914.14573,377040.4603,4916607.603,64112563.14,836027823.3,10901802816,1.4216E+11
13.2,27.71,767.8441,21276.96001,589584.5619,16337388.21,452709027.3,12544567147,3.4761E+11,9.63227E+12,2.6691E+14
13.1,18.35,336.7225,6178.857875,113382.042,2080560.471,38178284.64,700571523.1,12855487450,2.35898E+11,4.32873E+12
13.5,20.34,413.7156,8414.975304,171160.5977,3481406.557,70811809.37,1440312203,29295950199,5.9588E+11,1.21202E+13
18.9,9.68,93.7024,907.039232,8780.139766,84991.75293,822720.1684,7963931.23,77090854.31,746239469.7,7223598067
20,11.41,130.1881,1485.446221,16948.94138,193387.4212,2206550.475,25176740.93,287266614,3277712065,37398694665
21,8.77,76.9129,674.526133,5915.594186,51879.76101,454985.5041,3990222.871,34994254.58,306899612.7,2691509603
24.7,10.13,102.6169,1039.509197,10530.22817,106671.2113,1080579.371,10946269.02,110885705.2,1123272194,11378747324
30.8,4.32,18.6624,80.621568,348.2851738,1504.591951,6499.837227,28079.29682,121302.5623,524027.069,2263796.938
34.9,1.98,3.9204,7.762392,15.36953616,30.4316816,60.25472956,119.3043645,236.2226418,467.7208307,926.0872448
26.6,4.84,23.4256,113.379904,548.7587354,2655.992279,12855.00263,62218.21273,301136.1496,1457498.964,7054294.987
25.3,5.81,33.7561,196.122941,1139.474287,6620.345609,38464.20799,223477.0484,1298401.651,7543713.594,43828975.98
