BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BUILDING CLASS AT PRESENT,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,sale_year,sale_month
Manhattan,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2B,C4,10009,10,0,10,2272.0,6794.0,1913,2,C4,3936272.0,2016-09-23,2016,9
Manhattan,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2B,C4,10009,8,0,8,1750.0,4226.0,1920,2,C4,3192840.0,2016-09-23,2016,9
Manhattan,ALPHABET CITY,14 RENTALS - 4-10 UNIT                     ,2A,S3,10009,3,1,4,1520.0,3360.0,1910,2,S3,3300000.0,2016-11-15,2016,11
Manhattan,ALPHABET CITY,22 STORE BUILDINGS                         ,4,K4,10009,0,1,1,1218.0,3586.0,1899,4,K4,3700000.0,2016-09-28,2016,9
Manhattan,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2B,C4,10011,9,0,9,1566.0,6330.0,1901,2,C4,1583840.0,2017-08-31,2017,8
Manhattan,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2B,C4,10011,9,0,9,1566.0,6330.0,1901,2,C4,416790.0,2017-08-31,2017,8
Manhattan,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2B,C4,10011,9,0,9,1566.0,6330.0,1901,2,C4,630370.0,2017-08-31,2017,8
Manhattan,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2B,C1,10011,8,0,8,2000.0,4100.0,1910,2,C1,3485000.0,2016-12-05,2016,12
Manhattan,CHELSEA,08 RENTALS - ELEVATOR APARTMENTS           ,2,D7,10011,30,2,32,10053.0,78882.0,2014,2,D7,2341975.0,2016-10-28,2016,10
Manhattan,CHELSEA,09 COOPS - WALKUP APARTMENTS               ,2,C6,10011,24,0,24,4600.0,12200.0,1850,2,C6,282000.0,2016-10-19,2016,10
Manhattan,CHINATOWN,22 STORE BUILDINGS                         ,4,K4,10013,1,3,4,892.0,1784.0,1920,4,K4,3000000.0,2017-07-31,2017,7
Manhattan,CHINATOWN,22 STORE BUILDINGS                         ,4,K4,10013,0,2,2,1098.0,2712.0,1915,4,K4,2700000.0,2017-01-05,2017,1
Manhattan,CIVIC CENTER,21 OFFICE BUILDINGS                        ,4,O5,10013,0,5,5,4764.0,20700.0,1920,4,O5,3150000.0,2017-07-27,2017,7
Manhattan,CLINTON,07 RENTALS - WALKUP APARTMENTS             ,2B,C4,10036,10,0,10,2510.0,8175.0,1901,2,C4,3100000.0,2017-06-28,2017,6
Manhattan,EAST VILLAGE,02 TWO FAMILY DWELLINGS                    ,1,S2,10009,2,1,3,1200.0,3360.0,1900,1,S2,3000000.0,2017-08-31,2017,8
Manhattan,FASHION,23 LOFT BUILDINGS                          ,4,L1,10018,0,12,12,4937.0,55473.0,1926,4,L1,1161500.0,2017-07-21,2017,7
Manhattan,FASHION,23 LOFT BUILDINGS                          ,4,L1,10001,0,15,15,6994.0,79465.0,1913,4,L1,220000.0,2016-12-19,2016,12
Manhattan,FINANCIAL,21 OFFICE BUILDINGS                        ,4,O4,10005,0,23,23,27600.0,566858.0,1973,4,O4,3288000.0,2017-07-18,2017,7
Manhattan,FLATIRON,08 RENTALS - ELEVATOR APARTMENTS           ,2,D6,10003,15,1,16,4600.0,30680.0,1900,2,D6,489854.0,2017-01-27,2017,1
Manhattan,FLATIRON,08 RENTALS - ELEVATOR APARTMENTS           ,2,D6,10003,15,1,16,4600.0,30680.0,1900,2,D6,576299.0,2017-01-27,2017,1
Manhattan,FLATIRON,21 OFFICE BUILDINGS                        ,4,O4,10010,0,35,35,11553.0,217991.0,1913,4,O4,1159531.0,2016-12-20,2016,12
Manhattan,GRAMERCY,02 TWO FAMILY DWELLINGS                    ,1,B3,10010,2,0,2,1407.0,3080.0,1910,1,B3,3700000.0,2017-08-14,2017,8
Manhattan,GREENWICH VILLAGE-CENTRAL,22 STORE BUILDINGS                         ,4,K4,10003,5,2,7,2270.0,13230.0,1910,4,K4,3781000.0,2016-09-27,2016,9
