wage,educ,educ2,educ3,educ4,educ5,age,age2,age3,age4,age5
769000,12,144,1728,20736,248832,31,961,29791,923521,28629151
808000,18,324,5832,104976,1889568,37,1369,50653,1874161,69343957
825000,14,196,2744,38416,537824,33,1089,35937,1185921,39135393
650000,12,144,1728,20736,248832,32,1024,32768,1048576,33554432
562000,11,121,1331,14641,161051,34,1156,39304,1336336,45435424
1400000,16,256,4096,65536,1048576,35,1225,42875,1500625,52521875
6.00E+05,10,100,1000,10000,100000,30,900,27000,810000,24300000
1081000,18,324,5832,104976,1889568,38,1444,54872,2085136,79235168
1154000,15,225,3375,50625,759375,36,1296,46656,1679616,60466176
1.00E+06,12,144,1728,20736,248832,36,1296,46656,1679616,60466176
930000,18,324,5832,104976,1889568,38,1444,54872,2085136,79235168
921000,14,196,2744,38416,537824,33,1089,35937,1185921,39135393
9.00E+05,15,225,3375,50625,759375,30,900,27000,810000,24300000
1318000,16,256,4096,65536,1048576,28,784,21952,614656,17210368
1792000,16,256,4096,65536,1048576,34,1156,39304,1336336,45435424
958000,10,100,1000,10000,100000,35,1225,42875,1500625,52521875
1360000,15,225,3375,50625,759375,36,1296,46656,1679616,60466176
850000,11,121,1331,14641,161051,38,1444,54872,2085136,79235168
830000,14,196,2744,38416,537824,29,841,24389,707281,20511149
471000,12,144,1728,20736,248832,31,961,29791,923521,28629151
1275000,14,196,2744,38416,537824,31,961,29791,923521,28629151
1615000,16,256,4096,65536,1048576,36,1296,46656,1679616,60466176
873000,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
2137000,16,256,4096,65536,1048576,38,1444,54872,2085136,79235168
1053000,16,256,4096,65536,1048576,32,1024,32768,1048576,33554432
1602000,16,256,4096,65536,1048576,29,841,24389,707281,20511149
1188000,13,169,2197,28561,371293,35,1225,42875,1500625,52521875
8.00E+05,18,324,5832,104976,1889568,35,1225,42875,1500625,52521875
1417000,17,289,4913,83521,1419857,34,1156,39304,1336336,45435424
635000,18,324,5832,104976,1889568,36,1296,46656,1679616,60466176
1.00E+06,12,144,1728,20736,248832,34,1156,39304,1336336,45435424
1424000,14,196,2744,38416,537824,35,1225,42875,1500625,52521875
2668000,13,169,2197,28561,371293,32,1024,32768,1048576,33554432
666000,18,324,5832,104976,1889568,38,1444,54872,2085136,79235168
1779000,17,289,4913,83521,1419857,32,1024,32768,1048576,33554432
782000,13,169,2197,28561,371293,31,961,29791,923521,28629151
1572000,14,196,2744,38416,537824,28,784,21952,614656,17210368
1274000,13,169,2197,28561,371293,31,961,29791,923521,28629151
714000,16,256,4096,65536,1048576,29,841,24389,707281,20511149
1081000,18,324,5832,104976,1889568,36,1296,46656,1679616,60466176
692000,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
1318000,17,289,4913,83521,1419857,33,1089,35937,1185921,39135393
1239000,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
1027000,13,169,2197,28561,371293,38,1444,54872,2085136,79235168
1748000,18,324,5832,104976,1889568,34,1156,39304,1336336,45435424
981000,14,196,2744,38416,537824,35,1225,42875,1500625,52521875
770000,17,289,4913,83521,1419857,30,900,27000,810000,24300000
1154000,16,256,4096,65536,1048576,33,1089,35937,1185921,39135393
1155000,12,144,1728,20736,248832,34,1156,39304,1336336,45435424
808000,13,169,2197,28561,371293,38,1444,54872,2085136,79235168
1100000,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
1154000,18,324,5832,104976,1889568,37,1369,50653,1874161,69343957
1749000,12,144,1728,20736,248832,29,841,24389,707281,20511149
1.00E+06,16,256,4096,65536,1048576,30,900,27000,810000,24300000
462000,12,144,1728,20736,248832,29,841,24389,707281,20511149
769000,18,324,5832,104976,1889568,32,1024,32768,1048576,33554432
875000,16,256,4096,65536,1048576,31,961,29791,923521,28629151
1375000,12,144,1728,20736,248832,29,841,24389,707281,20511149
1452000,17,289,4913,83521,1419857,30,900,27000,810000,24300000
8.00E+05,12,144,1728,20736,248832,35,1225,42875,1500625,52521875
1748000,17,289,4913,83521,1419857,36,1296,46656,1679616,60466176
1151000,12,144,1728,20736,248832,29,841,24389,707281,20511149
840000,12,144,1728,20736,248832,35,1225,42875,1500625,52521875
978000,12,144,1728,20736,248832,38,1444,54872,2085136,79235168
963000,12,144,1728,20736,248832,37,1369,50653,1874161,69343957
619000,12,144,1728,20736,248832,28,784,21952,614656,17210368
442000,12,144,1728,20736,248832,33,1089,35937,1185921,39135393
6.00E+05,15,225,3375,50625,759375,38,1444,54872,2085136,79235168
1366000,12,144,1728,20736,248832,32,1024,32768,1048576,33554432
1643000,18,324,5832,104976,1889568,33,1089,35937,1185921,39135393
1455000,16,256,4096,65536,1048576,36,1296,46656,1679616,60466176
2310000,18,324,5832,104976,1889568,38,1444,54872,2085136,79235168
1682000,16,256,4096,65536,1048576,31,961,29791,923521,28629151
1235000,12,144,1728,20736,248832,33,1089,35937,1185921,39135393
855000,16,256,4096,65536,1048576,32,1024,32768,1048576,33554432
1072000,16,256,4096,65536,1048576,35,1225,42875,1500625,52521875
