home_ownership,income,dti,fico,loan_status
1,43,39.66,670,0
1,80,39.54,685,1
0,30,39.52,695,1
1,105,39.45,710,0
0,28.6,39.28,680,1
0,59,39.24,660,1
1,95,38.98,685,0
0,42,38.69,660,0
1,42,38.57,740,0
0,65,38.46,670,1
1,65,38.36,665,1
1,56.125,38.32,690,1
0,87,38.2,710,0
0,53,38.18,660,0
0,100.6,38.03,660,0
0,50,37.76,690,0
1,50,37.45,665,1
1,55,37.29,670,1
1,70,37.22,720,1
0,47,37.05,705,0
1,48,37.03,725,0
0,41,36.94,665,0
0,68,36.9,665,0
0,47.999,36.88,685,1
1,45.219,36.81,665,0
0,29.12,36.77,660,0
0,48,36.75,680,0
0,20.5,36.71,705,0
0,60,36.66,695,0
1,56,36.61,670,1
1,52.68,36.57,690,1
1,32.76,36.41,700,1
1,93.5,36.12,715,1
1,55,36.02,685,0
1,23.8,36.01,675,0
1,95,35.86,720,1
0,29,35.84,690,1
1,72,35.8,675,1
1,114,35.69,660,0
0,24,35.65,675,0
1,61.256,35.62,720,1
1,43,35.53,685,1
1,32,35.52,695,1
1,74,35.48,660,1
1,72,35.45,730,1
0,57.4,35.38,690,0
1,75,35.35,750,1
1,100,35.28,670,0
0,58,35.17,690,1
0,25.344,34.99,710,0
1,110,34.97,705,1
1,48.012,34.97,680,0
1,98.202,34.95,715,0
0,45,34.93,670,1
0,41,34.87,670,1
1,35,34.84,710,1
1,30,34.84,700,1
0,108,34.81,675,0
0,37.81232,34.78,660,0
1,73,34.77,685,0
1,70,34.73,710,1
1,54,34.73,700,0
1,31.2,34.71,710,1
0,48,34.7,665,0
0,60,34.68,675,1
0,40,34.68,675,0
0,46,34.65,685,1
0,50,34.64,685,1
1,70,34.61,735,0
1,45,34.56,685,0
1,90,34.54,690,1
0,28.5,34.44,690,0
1,107,34.43,685,1
1,41.532,34.38,665,1
0,35.6,34.36,665,0
1,58,34.22,705,0
0,55,34.21,710,1
1,46,34.18,665,0
1,118,34.16,670,0
1,67,34.16,680,1
0,45.05232,34.15,665,1
0,65,34.12,665,1
0,43.5,34.08,665,0
0,48,34.05,660,1
0,25,34.04,675,0
0,22,33.99,705,0
1,48,33.98,680,1
0,28.752,33.97,790,1
0,29,33.93,680,0
1,60,33.9,675,1
0,50,33.89,665,1
1,46,33.89,680,0
1,100,33.88,680,1
0,45,33.83,665,0
1,100,33.77,685,0
0,65,33.77,665,1
0,100,33.73,670,1
1,28,33.73,735,1
1,29,33.69,715,0
1,140,33.68,685,1
1,71.5,33.65,695,0
0,30,33.64,695,0
0,40,33.63,685,0
0,99.6,33.59,675,1
1,70,33.58,730,0
0,92,33.57,685,1
